gene	GSM1495249	GSM1495251	GSM1495253	GSM1495250	GSM1495252
401258	-1.17	-1.21	-1.19	-1.17	-0.46
401262	-0.15	-0.07	0.04	-0.05	-0.05
401265	-0.35	-0.31	-0.09	-0.16	-0.05
401285	-0.32	-1.21	-1.19	-0.46	-0.46
401303	0.09	0.18	0.06	0.12	0.09
401316	-0.46	-0.51	-1.19	-0.46	-1.18
401331	0.26	0.32	0.35	0.45	0.25
401375	-1.17	-0.3	-0.09	-0.4	-0.35
401387	-0.13	-0.21	-0.02	-0.17	-0.2
401393	-1.17	-1.21	-1.19	-1.17	-1.18
401399	0	0.09	0.61	0.11	0.38
401409	-0.56	-0.61	-1.19	-0.55	-0.56
401427	-0.56	-1.21	-0.44	-0.55	-0.41
401428	-1.17	-0.1	-0.49	-0.22	-1.18
401447	-1.17	-0.61	-0.37	-0.55	-1.18
401450	-1.17	-1.21	-1.19	-1.17	-1.18
401474	0.92	1.04	0.03	1.1	0.26
401494	0.18	0.12	0.1	0.15	0
401498	0.14	0.15	-0.44	-0.09	-1.18
401505	0.62	0.68	0.83	0.58	0.46
401508	-0.56	-1.21	-0.37	-0.46	-0.56
401509	0.15	0.14	0.26	0.15	0.15
401525	-1.17	-0.46	-1.19	-1.17	-1.18
401533	-1.17	-1.21	-1.19	-1.17	-1.18
401537	-1.17	-0.51	-1.19	-1.17	-1.18
401540	-1.17	-1.21	-1.19	-1.17	-1.18
401541	0.08	0.07	0.23	0.01	0.34
401548	1.21	1.07	1.03	1.42	0.95
401551	-1.17	-0.46	-0.2	-1.17	-0.37
401562	0.78	0.84	1.31	1.32	0.16
401565	-0.35	-0.32	-0.16	-0.29	-0.12
401577	-0.2	-0.14	-0.09	-0.12	-0.05
401612	0.03	0.01	0.57	0.08	0.38
401634	-0.35	-0.37	-0.4	-0.4	-0.3
401637	-0.37	-0.51	-1.19	-0.46	-1.18
401638	-1.17	-1.21	-1.19	-0.46	-1.18
401646	-1.17	-1.21	-1.19	-1.17	-1.18
401647	1.61	1.44	0.84	1.42	0.89
401648	-1.17	-1.21	-1.19	-1.17	-1.18
401661	-1.17	-1.21	-1.19	-1.17	-1.18
401662	-1.17	-1.21	-1.19	-1.17	-1.18
401663	-1.17	-1.21	-1.19	-1.17	-1.18
401664	-1.17	-1.21	-1.19	-1.17	-1.18
401665	-1.17	-1.21	-1.19	-1.17	-1.18
401666	-1.17	-1.21	-1.19	-1.17	-1.18
401667	-1.17	-1.21	-1.19	-1.17	-1.18
401675	-1.17	-1.21	-1.19	-1.17	-1.18
401687	-1.17	-1.21	-1.19	-1.17	-1.18
401692	-1.17	-1.21	-0.58	-1.17	-1.18
401696	-1.17	-1.21	-1.19	-1.17	-1.18
401708	-1.17	-0.61	-0.58	-1.17	-1.18
401717	-0.22	-0.51	-0.4	-0.46	-0.27
401718	-1.17	-0.61	-0.49	-0.46	-0.35
401720	-0.29	-0.31	-0.31	-0.19	-0.37
401725	-1.17	-1.21	-1.19	-1.17	-0.56
401730	-1.17	-1.21	-0.49	-1.17	-0.56
401742	-1.17	-1.21	-1.19	-1.17	-1.18
401744	-1.17	-1.21	-1.19	-1.17	-1.18
401825	-1.17	-1.21	-1.19	-1.17	-1.18
401827	-0.29	-0.3	-1.19	-0.29	-0.56
401895	-0.56	-0.61	-1.19	-0.36	-0.46
401898	-0.1	-0.04	-0.13	-0.11	-0.18
401903	-1.17	-1.21	-1.19	-1.17	-1.18
401904	-1.17	-1.21	-1.19	-1.17	-1.18
401911	-1.17	-1.21	-0.49	-1.17	-1.18
401914	-0.46	-0.51	-1.19	-0.4	-0.41
