gene	GSM2230612	GSM2230611	GSM2230613
63035	0.01	0.1	0.28
63036	-1.63	-0.82	-0.97
63826	0.29	0.4	-0.13
63827	-0.49	-0.43	-0.86
63874	1.11	1.13	0.96
63875	0.95	0.91	1.71
63876	0.44	0.11	-0.22
63877	0.35	0.23	0.19
63891	0.56	0.36	0.38
63892	0.32	0.2	0.21
63893	0.45	0.54	0.52
63894	0.27	0.54	0.1
63895	1.35	0.49	0.1
63897	0.35	0.41	0.32
63898	-0.39	-0.42	-0.4
63899	-0.08	-0.06	-0.16
63901	1.4	1.15	1.02
63905	0.58	1.05	1.14
63906	-0.24	-0.16	-0.02
63908	-0.2	-0.22	-0.33
63910	-0.61	-0.72	-0.97
63915	0.06	0.3	0.45
63916	1.09	1.1	0.89
63917	0.25	0.2	0
63922	0.46	0.44	0.48
63923	-0.6	-0.47	-0.48
63924	-1.63	-1.53	-1.48
63925	0.4	0.42	0.52
63926	-0.3	-0.55	-0.48
63928	-1.63	-1.53	-1.48
63931	1.23	1.16	1.43
63932	1.3	1.03	0.63
63933	-0.07	0.17	0.4
63934	-0.37	-0.51	-0.37
63935	0.8	0.95	1.05
63939	-0.66	-0.68	-0.5
63940	0.04	-0.21	-0.39
63941	-0.28	-0.28	-0.37
63943	-0.18	-0.03	-0.07
63946	-1.63	-1.03	-1.48
63948	-1.16	-1.53	-1.48
63950	-0.76	-0.59	-0.39
63951	-0.74	-0.46	-0.05
63967	0.3	0.39	0.35
63971	0.29	0.4	0.16
63973	-1.63	-1.03	-1.48
63974	-0.98	-0.82	-1.48
63976	-0.23	-0.9	0.41
63977	-0.04	-0.01	-0.04
63978	-0.98	-1.53	-1.48
63979	1.01	0.83	0.56
63982	0.02	-0.09	-0.32
64005	-0.71	-0.82	-0.97
64061	0.65	0.38	0.25
64062	0.82	0.33	0.44
64063	-0.6	-0.9	-0.41
64065	-0.92	-0.68	-1.48
64066	-0.84	-1.03	-0.97
64067	0.12	-0.06	-0.31
64072	-0.5	-0.55	-0.16
64077	-0.21	-0.13	-0.16
64078	-0.54	-0.54	-0.36
64080	-0.09	0.12	-0.26
64083	0.54	0.73	0.6
64084	-0.72	-0.82	-0.66
64087	-0.08	0.05	0.07
64089	0.48	0.47	-0.15
64090	-0.62	-0.41	-0.86
64091	-0.98	-0.66	-0.78
64092	-0.76	-1.53	-1.48
64093	-1.04	-1.03	-0.73
64094	-0.46	-1.03	-0.26
