gene	GSM2157516	GSM2157515	GSM2157514	GSM2157513
8853	0.39	-0.09	0.29	0.16
8854	-0.99	-0.5	-0.85	-0.68
8856	-1.49	-1.34	-1.38	-1.42
8857	-1.49	-0.81	-1.38	-1.42
8858	-0.7	-0.69	-0.53	-0.57
8859	0.07	-0.13	-0.02	0.03
8861	1.22	1.2	1.18	1.45
8862	-0.27	-0.45	-0.39	-0.37
8863	0.02	0.07	-0.01	-0.04
8864	-0.28	-0.12	-0.26	-0.21
8867	0.24	0.4	0.32	0.22
8869	0.79	1.43	0.7	0.82
8870	1.02	0.59	0.66	0.81
8871	0.47	0.53	0.55	0.55
8872	1.02	1.22	1.28	1.2
8874	1.01	0.84	0.8	0.84
8876	-0.09	0.16	-0.21	-0.24
8877	0.31	0.41	0.11	0.23
8878	1.9	1.83	1.77	1.91
8879	1.39	1.29	1.52	1.43
8880	1.75	1.75	1.74	1.63
8881	1.49	1.57	1.48	1.42
8882	0.92	0.8	0.81	0.88
8883	0.95	0.95	0.93	0.84
8884	0.27	0	0.15	0.18
8886	1.23	1.16	1.51	1.53
8887	1.68	1.78	1.74	1.57
8888	0.74	0.69	0.91	1
8890	0.38	0.26	0.4	0.55
8891	0.58	0.5	0.72	0.64
8892	0.71	0.43	0.58	0.73
8893	1.08	0.85	0.98	0.97
8894	1.97	2.01	2.21	2.17
8895	1.07	1.25	1.11	0.89
8897	1.12	1.21	1.07	1.04
8898	1.29	1.46	1.53	1.4
8899	1.18	1.23	1.39	1.2
8900	-0.99	-1.34	-1.38	-0.9
8904	0.7	0.44	0.83	0.97
8905	0.65	0.63	0.58	0.43
8906	0.09	0.06	0.07	0.11
8907	0.97	0.91	0.8	0.94
8909	-0.58	-0.85	-0.68	-0.72
8910	-0.3	0.01	0.17	0.07
8911	-0.88	-1.34	-1.38	-0.9
8912	-0.99	-1.34	-1.38	-1.42
8913	-0.34	-0.45	-0.35	-0.22
8914	0.52	0.52	0.63	0.78
8915	0.69	0.67	0.79	0.77
8916	0.09	0.4	0.21	0.11
8924	0.62	0.78	0.69	0.47
8925	0.7	0.89	1.02	0.63
8926	-1.49	-1.34	-1.38	-1.42
8927	-0.38	-0.36	-0.51	-0.46
8928	-1.49	-1.34	-1.38	-1.42
8929	-1.49	-1.34	-1.38	-1.42
8930	-0.14	-0.35	-0.12	-0.13
8932	1.4	1.28	1.11	1.05
8934	-0.18	-0.2	-0.18	-0.19
8935	0.74	0.85	0.63	0.56
8936	0.15	0.08	0.23	0.25
8938	-0.7	-1.34	-1.38	-0.57
8939	1.07	1.11	1.25	1.29
8940	0.63	0.7	0.69	0.72
8941	-0.54	-0.85	-1.38	-0.78
8942	-0.82	-1.34	-0.68	-1.42
8943	1.2	1.09	1.19	1.3
8945	0.2	0.16	0.29	0.27
8968	-0.54	-1.34	-0.82	-0.61
8969	-0.73	-1.34	-1.38	-1.42
8970	-0.26	-0.42	-0.17	-0.23
8971	0.38	0.2	0.34	0.51
8972	-0.14	-0.16	-0.03	-0.17
8973	-1.49	-1.34	-1.38	-1.42
8974	0.13	0.28	0.53	0.62
8975	-1.49	-1.34	-1.38	-0.9
8985	1.32	1.52	1.45	1.74
8986	1.46	1.01	1.21	1.36
8987	-0.14	0.2	-0.06	-0.13
8988	-1.49	-1.34	-1.38	-1.42
8989	-1.49	-1.34	-0.13	-0.21
8991	-0.82	-0.45	-0.78	-0.78
8992	0.87	0.94	0.89	0.88
8993	-1.49	-0.47	-0.75	-0.9
8994	1.06	0.96	1.09	1.08
8995	-0.54	-0.35	-0.63	-0.72
8996	-0.51	-0.56	-0.33	-0.33
8997	-0.37	-0.14	0.35	0.24
8999	0.65	0.42	0.26	0.2
9001	1.01	0.5	0.17	0.25
9002	-1.49	-0.61	-0.72	-0.78
9013	0.16	0.07	0.05	0.15
9014	0.1	-0.05	0.18	0.07
9015	-0.05	0.05	0.13	0.18
9016	0.07	0.01	0.08	-0.01
