gene	GSM2687426	GSM2687427	GSM2687428	GSM2687429	GSM2687430	GSM2687431
147015	-0.2	-0.17	-0.22	0.09	0.2	0.08
147040	0.51	0.72	0.41	0.06	0.36	0.55
147111	-1.63	-1.52	-1.07	-0.59	0.29	0.12
147138	-0.37	-0.35	-0.38	-0.43	-0.16	-0.1
147179	0.63	0.62	0.62	0.53	0.63	0.48
147183	-1.18	-0.89	-1.51	-1.59	-1.46	-1.49
147323	-0.55	-0.78	-0.42	-0.36	-0.32	-0.29
147339	0.43	0.39	0.35	0.39	0.3	0.37
147372	1.54	1.58	1.5	0.24	-0.08	-0.01
147381	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
147409	-0.89	-0.76	-0.93	-1.59	-1.46	-1.49
147463	-0.4	-0.44	-0.48	-0.39	-0.3	-0.48
147495	-0.39	-0.42	-0.46	-0.21	-0.66	0.36
147645	-0.55	-0.49	-0.53	-0.37	-0.23	-0.19
147670	-1.63	-0.92	-0.86	-1.02	-0.84	-1.01
147685	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
147699	-1.63	-1.52	-1.51	-0.94	-0.98	-1.49
147700	0.5	0.46	0.57	0.05	0.42	0.43
147710	-0.7	-1.08	-0.62	-0.94	-0.63	-0.8
147719	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
147741	-0.19	-0.19	-0.13	-0.07	-0.12	-0.09
147744	-0.6	-0.51	-0.62	-0.59	-0.46	-0.49
147746	-0.6	-0.61	-0.74	-0.42	-0.41	-0.46
147798	1.3	1.36	1.61	-0.36	1.51	1.53
147807	-0.25	-0.33	-0.28	-0.26	-0.22	-0.16
147808	-0.51	-0.69	-0.55	-0.4	-0.38	-0.4
147837	-0.46	-0.53	-0.36	-0.34	-0.32	-0.32
147841	-0.04	0.05	-0.29	-0.05	0.14	0.07
147872	-0.81	-0.84	-0.93	-0.7	-0.84	-0.85
147906	-0.32	-0.33	-0.33	-0.15	-0.59	-0.53
147912	-0.26	-0.37	-0.32	-0.29	-0.2	-0.26
147923	-0.39	-0.42	-0.37	-0.31	-0.19	-0.26
147929	0.03	0.06	0.18	0.05	0.03	-0.02
147945	-1.08	-1.52	-1.51	-0.94	-0.71	-1.49
147949	-0.47	-0.44	-0.4	-0.8	-1.46	-1.01
147965	-0.07	-0.13	-0.14	-0.23	-0.17	-0.01
147968	-0.83	-0.68	-0.86	-0.84	-0.98	-0.77
147991	-0.07	-0.12	0.03	-0.02	0.12	0.12
148014	-1.01	-0.87	-1.51	-0.77	-0.98	-1.49
148022	-0.13	-0.07	-0.04	-0.14	-0.07	0.15
148066	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
148113	-1.18	-1.52	-0.93	-0.69	-0.5	-0.23
148156	-0.41	-0.37	-0.33	-0.31	-0.27	-0.35
148170	-0.28	-0.29	-0.35	-0.14	-0.12	-0.21
148223	0.15	0.23	0.09	0.16	0.3	0.43
148229	-1.08	-0.96	-0.72	-0.59	-1.46	-0.68
148252	-0.96	-1.52	-1.51	-1.12	-0.98	-0.85
148266	-0.18	-0.21	-0.13	-0.02	-0.12	-0.07
148281	-1.08	-1.52	-1.51	-1.02	-1.46	-1.49
148304	-0.08	-0.11	-0.15	-0.09	-0.08	-0.02
148327	-0.33	-0.35	-0.24	-0.51	-0.47	-0.45
148345	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
148362	1.05	1.1	1.25	0.96	1.42	1.41
148398	-0.74	-1.04	-0.67	-0.75	-1.46	-0.59
148423	-0.06	0.02	0.01	0.16	0.09	0.05
148479	0.42	0.46	0.49	0.35	0.08	0.36
148523	-0.23	-0.33	-0.4	0.04	-0.09	-0.38
148534	0.16	0.21	0.13	-0.06	-0.08	-0.37
148581	-0.79	-0.89	-0.98	-1.59	-1.46	-1.49
148641	-0.39	-0.47	-0.43	-0.73	-0.79	-0.85
148738	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
148741	-0.92	-1.52	-1.51	-0.53	-0.46	-0.8
148753	-1.63	-1.52	-1.07	-1.59	-1.46	-1.01
148789	0.62	0.63	0.67	0.69	0.64	0.61
148808	0.31	0.31	0.37	0.32	0.27	0.24
148811	-0.46	-0.49	-0.36	-0.46	-0.46	-0.45
148867	0.78	0.69	0.81	0.7	0.71	0.53
148870	-1.08	-1.52	-1.51	-1.59	-1.46	-0.92
148930	-1.63	-1.52	-1.51	-0.94	-0.98	-1.49
148932	-0.26	-0.17	-0.24	-0.27	-0.13	-0.15
148979	-0.68	-0.52	-0.81	-0.6	-0.45	-0.29
149041	1.2	1.26	1.25	1.06	1.21	1.14
149069	-0.81	-0.75	-0.72	-0.66	-0.66	-0.7
149076	0.27	0.18	0.29	0.33	-0.04	0.33
149095	-0.79	-0.89	-0.8	-0.66	-0.56	-0.53
149111	-0.96	-1.52	-1.51	-1.12	-0.59	-0.44
149175	-1.63	-1.52	-1.51	-0.94	-1.46	-1.49
149233	-0.74	-0.92	-1.51	-0.68	-0.91	-0.85
149281	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
149297	-0.42	-0.42	-0.49	-0.42	-1.46	-1.49
149345	0.08	0.1	0.26	-0.19	-0.07	0.13
149371	0.3	0.34	0.36	0.29	0.41	0.44
149420	0.25	0.21	0.37	0.13	0.04	-0.08
149428	-0.3	-0.32	-0.33	-0.68	-0.35	-0.36
149461	-1.08	-1.52	-1.51	-1.02	-1.46	-1.49
149465	-0.96	-1.04	-1.07	-0.77	-1.46	-0.8
149466	-0.22	-0.22	-0.16	-0.52	-0.23	-0.27
149483	-0.44	-0.54	-0.39	-0.47	-0.3	-0.18
149499	-0.81	-0.92	-0.72	-0.66	-0.75	-0.66
149603	1.22	1.18	1.18	1.05	1.45	1.25
149643	-1.01	-1.52	-1.07	-1.59	-0.98	-1.49
149647	-1.18	-1.52	-1.51	-1.59	-1.46	-1.49
149699	-1.63	-1.52	-0.98	-0.54	-1.46	-1.49
149708	-0.96	-1.52	-1.51	-1.59	-1.46	-1.49
149951	0.4	0.44	0.39	0.28	0.23	0.33
149954	-0.86	-0.87	-1.51	-1.12	-1.46	-0.54
149986	0.81	0.84	0.78	0.92	0.8	0.7
149998	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
150082	-0.67	-0.6	-0.52	-0.55	-0.49	-0.66
150084	-0.24	-0.2	-0.13	-1.12	-0.09	-0.46
150159	-0.89	-1	-1.02	-0.84	-0.71	-1.01
150160	-1.18	-1.52	-1.51	-1.59	-1.46	-1.49
150209	-0.48	-0.54	-0.4	-0.46	-0.39	-0.43
150223	-0.37	-0.37	-0.39	0.03	-0.14	0.08
150274	-0.23	-0.25	-0.07	-0.14	-0.17	-0.09
150275	0.19	0.22	0.25	0.38	0.16	0.2
150280	-0.77	-0.69	-0.81	-0.55	-0.36	-0.34
150290	0.31	0.25	0.47	0.9	1.68	1.12
150350	-1.63	-1.52	-1.51	-1.12	-0.98	-1.49
150353	-1.01	-0.96	-1.51	-1.02	-0.79	-1.49
150356	-0.17	-0.25	-0.04	-0.41	-0.32	-0.45
150365	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
150372	-0.92	-0.78	-0.61	-1.12	-1.46	-0.92
150379	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
150383	-0.26	-0.29	-0.29	-0.24	-0.22	-0.22
150465	0.25	0.31	0.13	0.56	0.26	0.56
150468	1	0.99	0.44	1.6	1.46	1.58
150483	-1.18	-1.52	-1.51	-1.59	-1.46	-1.49
150572	-1.63	-1.52	-1.51	-0.68	-0.91	-0.92
150677	-1.63	-1.52	-1.51	-1.59	-0.58	-1.49
150681	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
150684	0.33	0.37	0.31	0.45	0.33	0.59
150696	0.05	0.22	0.06	0.72	1.26	0.1
150709	-1.18	-1.52	-1.51	-1.59	-0.75	-1.49
150726	-1.18	-0.73	-1.02	-1.02	-1.46	-0.55
150737	-0.24	-0.32	-0.09	-0.27	0.07	-0.04
150763	-1.01	-0.84	-0.93	-1.59	-1.46	-0.85
150771	0.12	0.16	-0.04	0.72	1.11	0.8
150864	0.78	0.75	0.81	0.75	0.74	0.89
150921	-1.08	-0.92	-1.51	-1.12	-0.56	-1.49
150962	0.58	0.56	0.51	0.66	0.71	0.71
151011	0.13	0.17	-0.01	0.19	0.16	0.22
151050	0.34	0.27	0.87	0.04	0.13	0.09
151056	-0.09	-0.16	-0.12	-0.49	-0.47	-0.44
151112	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
151126	-1.01	-1	-1.51	-0.64	-0.84	-1.01
151188	0.39	0.4	0.33	0.49	0.37	0.43
151194	-0.14	-0.2	-0.15	-0.1	-0.04	0.07
151195	0.43	0.61	0.23	0.59	0.3	0.44
151230	0.16	0.17	0.29	-0.04	-0.18	-0.32
151242	-1.63	-1.04	-1.51	-0.94	-0.91	-1.01
151258	-0.83	-1.52	-1.07	-1.12	-0.75	-0.61
151295	-0.47	-0.49	-0.54	-0.47	0.19	-0.31
151306	-0.73	-0.68	-1.02	-0.88	-1.46	-1.49
151313	-0.35	-0.43	-0.26	-0.27	-0.26	-0.17
151354	0.97	1.02	0.77	-0.27	0.16	-0.08
151393	-0.28	-0.3	-0.23	-0.17	-0.3	-0.37
151449	-1.63	-1.52	-1.51	-1.59	-0.84	-0.92
151473	-1.63	-1.52	-1.51	-1.02	-0.91	-1.01
151516	-0.42	-0.42	-0.46	-0.37	-0.27	-0.3
151525	-0.08	-0.08	0.01	0.03	-0.05	0.08
151531	-0.47	-0.48	-0.41	-0.44	-0.56	-0.55
151556	-0.21	-0.26	-0.39	-0.4	-0.5	-0.66
151613	0.64	0.58	0.67	0.55	0.84	0.64
151636	1.3	1.25	1.67	0.41	0.95	0.07
151647	-1.63	-1.52	-1.51	-0.84	-1.46	-1.49
151649	-0.59	-0.61	-0.73	-0.57	-0.49	-0.51
151651	-0.6	-0.57	-0.51	-0.51	-0.43	-0.41
151742	-0.08	-0.14	-0.06	0.18	0.02	-0.22
151790	-1.63	-1.52	-1.51	-1.59	-0.91	-0.59
151827	-0.96	-1.52	-0.86	-1.02	-0.98	-1.01
151835	-0.86	-1.52	-0.86	-0.63	-0.63	-0.62
151871	-0.89	-1	-1.51	-0.44	-0.56	-0.64
151887	-0.14	-0.11	0.39	1.11	-0.03	-0.22
151888	-1.63	-1.52	-0.69	-1.02	-1.46	-1.49
151903	0.18	0.25	0.14	0.04	0.37	0.13
151963	-0.06	-0.06	-0.17	-0.02	-0.12	-0.4
151987	1.44	1.44	1.46	2.07	1.73	1.71
152002	0.18	0.21	0.2	0.38	0.42	0.16
152006	1.23	1.19	1.34	1.03	0.86	0.92
152007	0.31	0.35	0.06	0.67	-0.79	-0.26
152098	-1.63	-1	-0.86	-1.12	-0.53	-1.49
152100	0.04	-0.01	0.17	-0.08	0.23	0.04
