gene	GSM3123142	GSM3123143	GSM3123144	GSM3123145	GSM3123146
3560	-0.69	-0.75	-0.65	-0.64	-0.76
3561	-0.23	-0.31	-0.26	-0.16	-0.33
3563	0.2	0.19	-0.26	-0.1	-0.42
3565	-0.69	-0.75	-0.74	-0.53	-0.76
3566	0.7	0.66	0.66	0.65	0.49
3567	-1.28	-1.4	-1.04	-1.35	-1.58
3568	-0.69	-0.68	-0.74	-0.77	-0.72
3569	-1.28	-0.87	-0.85	-0.71	-1.1
3570	-0.2	-0.41	-0.25	-0.28	-0.44
3572	1.36	0.83	0.78	1.35	0.6
3574	-0.34	-0.12	-0.22	-0.35	-0.35
3575	-0.69	-0.75	-0.36	-0.56	-0.62
3577	-1.28	-1.4	-1.53	-1.24	-1.58
3578	-1.28	-1.4	-1.53	-1.24	-1.58
3579	-0.5	-0.48	-0.31	-0.46	-0.36
3581	-1.28	-0.87	-0.74	-1	-1.58
3586	-0.44	-0.21	-1.04	-0.61	-0.86
3587	-0.23	-0.19	-0.31	-0.28	-0.41
3588	0.67	0.5	0.57	0.43	0.38
3589	-1.28	-0.59	-0.45	-0.56	-0.57
3590	1.37	1.12	0.76	0.52	0.35
3592	-1.28	-1.4	-1.53	-0.95	-0.82
3593	-1.28	-1.4	-1.04	-1.78	-1.58
3594	-1.28	-0.63	-0.71	-0.74	-0.74
3595	-1.28	-1.4	-1.53	-1	-1.1
3596	-1.28	-1.4	-1.53	-1.35	-1.58
3597	1.28	1.32	1.71	1.43	1.09
3598	-1.28	-0.87	-1.04	-0.95	-1.58
3600	-0.39	-0.35	-0.42	-0.41	-0.38
3601	-0.58	-0.56	-0.58	-0.42	-0.44
3603	-0.34	-0.43	-0.09	-0.45	-0.5
3604	1.24	0.48	0.06	0.01	-0.25
3605	-1.28	-1.4	-1.53	-1.78	-1.58
3606	-0.08	-0.34	-0.38	-0.37	-0.5
3607	0.92	0.99	1.11	1.2	0.85
3608	1.83	1.53	1.42	1.47	1.84
3609	1.16	1.14	1.13	1.23	1.23
3611	1.23	1.42	1.27	1.48	1.2
3612	1.15	0.9	1.15	1.03	1.38
3613	0.39	0.57	0.46	0.25	0.77
3614	0.3	0.55	0.39	0.71	0.4
3615	1.69	1.83	1.57	1.58	1.71
3617	-1.28	-1.4	-1.53	-1.24	-1.58
3619	1.25	1.38	1.44	1	1.08
3620	-1.28	-0.56	-1.53	-1.17	-1.58
