ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541719	GSE94583	Tissue	GSM2478845	None	LCS-driven peritoneal metastasis_dissected SJMMHB044770	LCS-driven peritoneal metastasis_dissected	Mouse	LCS-driven peritoneal metastasis_dissected SJMMHB044770	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541720	GSE94583	Tissue	GSM2478846	None	LCS-driven lung metastasis_dissected SJMMHB044771	LCS-driven lung metastasis_dissected	Mouse	LCS-driven lung metastasis_dissected SJMMHB044771	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541721	GSE94583	Tissue	GSM2478847	None	LCS-driven primary tumor_dissected SJMMHB044773	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB044773	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541722	GSE94583	Tissue	GSM2478848	None	LCS-driven lung metastasis_dissected SJMMHB044774	LCS-driven lung metastasis_dissected	Mouse	LCS-driven lung metastasis_dissected SJMMHB044774	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541723	GSE94583	Tissue	GSM2478849	None	PPTR tumor intestine metastasis_dissected SJMMHB044777	PPTR tumor intestine metastasis_dissected	Mouse	PPTR tumor intestine metastasis_dissected SJMMHB044777	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541724	GSE94583	Tissue	GSM2478850	None	PPTR primary tumor_dissected SJMMHB044779	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB044779	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541725	GSE94583	Tissue	GSM2478851	None	LCS-driven lung metastasis_dissected SJMMHB044780	LCS-driven lung metastasis_dissected	Mouse	LCS-driven lung metastasis_dissected SJMMHB044780	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541726	GSE94583	Tissue	GSM2478852	None	PPTR primary tumor_dissected SJMMHB044781	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB044781	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541727	GSE94583	Tissue	GSM2478853	None	PPTR primary tumor_dissected SJMMHB044782	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB044782	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541728	GSE94583	Tissue	GSM2478854	None	PPTR tumor peritoneal metastasis_dissected SJMMHB044783	PPTR tumor peritoneal metastasis_dissected	Mouse	PPTR tumor peritoneal metastasis_dissected SJMMHB044783	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541729	GSE94583	Tissue	GSM2478855	None	LCS-driven primary tumor_dissected SJMMHB044784	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB044784	Liver_Hepatocellular_Carcinoma
